"","Exploration.Proportion","Cresyl.Violet","Caspase.3","GFAP","Iba1","ERA","ERB","group"
"29",0.320801461076471,4.06832925123343e-05,0.154198175489137,0.745019745461451,0.704640533933289,0.222868217054264,0.671061261970353,1
"13",0.38245251827734,0,0.0218461169127356,0.065401477713385,0.542815996007935,0.484496124031008,0.243211334120425,0
"22",0.0122275592704159,3.41272652421348e-05,0.12279438242708,0.368146336016205,0.97820777398203,0.287790697674419,0.569067296340024,1
"43",0.467165780255842,4.16711870325014e-05,0.186292161805305,0.841417263413649,0.393509105668675,0.210271317829457,0.821133412042503,1
"28",0.320801461076471,4.06832925123343e-05,0.154198175489137,0.745019745461451,0.704640533933289,0.238372093023256,0.671061261970353,1
"33",0.320801461076471,4.06832925123343e-05,0.154198175489137,0.745019745461451,0.704640533933289,0.222868217054264,0.671061261970353,1
"21",0.697903871603201,2.26317653710999e-05,0.0294082343056056,0.0554014848259832,0.381883373013348,1,0.14344746162928,0
"31",0.467165780255842,4.16711870325014e-05,0.186292161805305,0.841417263413649,0.393509105668675,0.210271317829457,0.821133412042503,1
"17",0.0610507026649191,2.40687028549792e-05,0.0322890409314608,0.0363010293351997,0.333612651205718,0.98546511627907,0.177489177489178,0
"9",0.0473949518481555,4.27488901454109e-05,0.0256871924138759,0.685962078471873,0.528095249905724,0.371124031007752,0.188311688311688,0
"23",0.0122275592704159,3.41272652421348e-05,0.12279438242708,0.368146336016205,0.97820777398203,0.287790697674419,0.569067296340024,1
"19",0.806340732209095,3.95157808066823e-05,0.0361301164326011,0.102033491802019,0.207455504906763,0.549418604651163,0.331168831168831,0
"41",0.467165780255842,4.16711870325014e-05,0.186292161805305,0.841417263413649,0.393509105668675,0.210271317829457,0.821133412042503,1
"18",0.858840040262521,5.24482181615966e-05,0.0261673268515184,0.105451770894679,0.163395224248333,0.502906976744186,0.120425029515939,0
"26",0.49757066983827,4.45450620002601e-05,0.208258312327452,0.772701563918074,0.511024750337722,0.548449612403101,0.583234946871311,1
"16",0.325127041183936,2.47871715969189e-05,0.0478934101548434,0.252409392612571,0.637801246013574,0.640503875968992,0.16469893742621,0
"11",0.991849569190556,3.37680308711649e-05,0.0690193254111151,0.147736486774835,0.32580946363923,0.415697674418605,0.309327036599764,0
"10",0.398969576711257,1.47286092097634e-05,0.0589365022206218,0.123081590035535,0.300646883369393,0.468992248062016,0.198937426210153,0
"7",0.38245251827734,0,0.0218461169127356,0.065401477713385,0.542815996007935,0.484496124031008,0.243211334120425,0
"32",0,2.76610465646776e-05,0.103228904093146,0.978563447220254,1,0.0736434108527132,0.841794569067296,1
"2",0.224458070476763,3.73603745808633e-05,0.0525747209218581,0.542262417885055,0.709994115899641,0.668604651162791,0.272727272727273,0
"40",0.320801461076471,4.06832925123343e-05,0.154198175489137,0.745019745461451,0.352549078166252,0.548449612403101,0.510625737898465,1
"1",0.328730240567108,4.31081245163807e-05,0.0132036970351698,0.375083110709012,0.86146863056727,0.423449612403101,0.0979929161747344,0
"27",0.320801461076471,4.06832925123343e-05,0.154198175489137,0.745019745461451,0.704640533933289,0.238372093023256,0.671061261970353,1
"15",0.533689059597005,3.05349215324364e-05,0.0550954267194815,0.334398779193659,0.483482270546297,0.436046511627907,0.264757969303424,0
"36",0.49757066983827,4.45450620002601e-05,0.208258312327452,0.772701563918074,0.511024750337722,0.548449612403101,0.583234946871311,1
"39",0.320801461076471,4.06832925123343e-05,0.154198175489137,0.745019745461451,0.352549078166252,0.548449612403101,0.510625737898465,1
"5",0.991849569190556,3.37680308711649e-05,0.0690193254111151,0.147736486774835,0.32580946363923,0.415697674418605,0.309327036599764,0
"12",0.0473949518481555,4.27488901454109e-05,0.0256871924138759,0.685962078471873,0.528095249905724,0.371124031007752,0.188311688311688,0
"25",0,2.76610465646776e-05,0.103228904093146,0.978563447220254,1,0.0736434108527132,0.841794569067296,1
"8",0.533689059597005,3.05349215324364e-05,0.0550954267194815,0.334398779193659,0.483482270546297,0.436046511627907,0.264757969303424,0
"35",0.320801461076471,5.10112806777172e-05,0.139359020525747,0.774595791048937,0.936120775658697,0.171511627906977,0.392561983471074,1
"6",0.0473949518481555,4.27488901454109e-05,0.0256871924138759,0.685962078471873,0.528095249905724,0.371124031007752,0.188311688311688,0
"42",0.46599030945692,3.48457339840744e-05,0.234905773616613,0.744508754185764,0.899307170303028,0.287790697674419,0.626918536009445,1
"37",0.46599030945692,3.48457339840744e-05,0.234905773616613,0.744508754185764,0.899307170303028,0.287790697674419,0.626918536009445,1
"3",0.328730240567108,4.31081245163807e-05,0.0132036970351698,0.375083110709012,0.86146863056727,0.423449612403101,0.0979929161747344,0
"38",0.320801461076471,4.06832925123343e-05,0.154198175489137,0.745019745461451,0.704640533933289,0.222868217054264,0.671061261970353,1
"30",0,2.76610465646776e-05,0.103228904093146,0.978563447220254,1,0.0736434108527132,0.841794569067296,1
"20",0.533689059597005,3.05349215324364e-05,0.0550954267194815,0.334398779193659,0.483482270546297,0.436046511627907,0.264757969303424,0
"34",0.467165780255842,4.16711870325014e-05,0.186292161805305,0.841417263413649,0.393509105668675,0.210271317829457,0.821133412042503,1
"4",0.325127041183936,2.47871715969189e-05,0.0478934101548434,0.252409392612571,0.637801246013574,0.640503875968992,0.16469893742621,0
"14",0.697903871603201,2.26317653710999e-05,0.0294082343056056,0.0554014848259832,0.381883373013348,1,0.14344746162928,0
"24",0,2.76610465646776e-05,0.103228904093146,0.978563447220254,1,0.0736434108527132,0.841794569067296,1
"431",0.166273194909802,0.535869192706968,0.698768988650155,0.229726772467854,0.205815497010831,0.249031007751938,0,1
"261",0.224362762622162,0.547518650165561,0.870963869883567,0.279059273686496,0.312137434678734,0.151485788113695,0.0824759655928487,1
"151",0.809959438200432,0.864568642144371,0.00588164686112111,0.0338025970731157,0.0348437661027812,0.549418604651163,0.361865407319953,0
"291",0.155075815119149,0.515033599190717,0.80158444364422,0.278510571196661,0.494641512288452,0.151485788113695,0.0824759655928487,1
"241",0.155075815119149,0.541976177013455,0.698768988650155,0.193337795246684,0.178408039518495,0.27906976744186,0.050767414403778,1
"421",0.155075815119149,0.541976177013455,0.698768988650155,0.193337795246684,0.178408039518495,0.27906976744186,0.050767414403778,1
"121",0.692120675467002,0.786974018014885,0.020045612771576,0.0571505818586361,0.0610981275464228,0.487403100775194,0.3913813459268,0
"391",0.0992654946104468,0.525810630319812,0.345816828712039,0.424202035568226,0.082470974476054,0.0125968992248062,0.0824759655928487,1
"47",0.155075815119149,0.515033599190717,0.80158444364422,0.278510571196661,0.494641512288452,0.151485788113695,0.0824759655928487,1
"281",0.166273194909802,0.535869192706968,0.698768988650155,0.229726772467854,0.205815497010831,0.249031007751938,0,1
"221",0.809959438200432,0.864568642144371,0.00588164686112111,0.0338025970731157,0.0348437661027812,0.549418604651163,0.361865407319953,0
"331",0.18868297626203,0.587239707755655,0.416996759092546,0.153811063637225,0.133679508925509,0.234496124031008,0.133412042502952,1
"191",0.60564606185387,0.738676952584496,0.0837834593686232,0.0754366090041935,0.256257593553803,0.443798449612403,0.268398268398268,0
"46",0.0992654946104468,0.525810630319812,0.345816828712039,0.424202035568226,0.082470974476054,0.0125968992248062,0.0824759655928487,1
"110",0.809959438200432,0.864568642144371,0.00588164686112111,0.0338025970731157,0.0348437661027812,0.549418604651163,0.361865407319953,0
"44",0.225930005767007,0.537306130190847,0.910815028207898,0.332485378398587,0.474650694106187,0,0.0991735537190083,1
"141",0.401231987324618,0.726981878062922,0.0502940823430561,0.0537342018634322,0.0572576679109034,0.469961240310078,0.139905548996458,0
"371",0.224362762622162,0.547518650165561,0.870963869883567,0.279059273686496,0.312137434678734,0.151485788113695,0.0824759655928487,1
"61",0.824294293923373,0.840140704918421,0.0444124354819349,0.0723283985632884,0,0.502180232558139,0.440968122786305,0
"381",0.218476776829916,0.547518650165561,0.725603168887288,0.0774458021093185,0.239457526807774,0.35562015503876,0.0631641086186541,1
"201",0.45248863632391,0.844047378702719,0,0.046843987657768,0.0260973819088549,0.507751937984496,0.464580873671783,0
"91",0.442843632447105,0.845529220482969,0.00977416533772314,0.147343165692581,0.0927252085838807,0.575581395348837,0.564935064935065,0
"51",0.401231987324618,0.726981878062922,0.0502940823430561,0.0537342018634322,0.0572576679109034,0.469961240310078,0.139905548996458,0
"311",0.224362762622162,0.547518650165561,0.870963869883567,0.279059273686496,0.312137434678734,0.151485788113695,0.0824759655928487,1
"171",0.691482797395673,0.844047378702719,0.00977416533772314,0.0571505818586361,0.0610981275464228,0.571274763135228,0.412485242030697,0
"310",0.45248863632391,0.844047378702719,0,0.046843987657768,0.0260973819088549,0.507751937984496,0.464580873671783,0
"301",0.0682666502029485,0.547518650165561,1,0.552984090124773,0.564460551527741,0.0174418604651163,0.0824759655928487,1
"71",0.95105693088112,0.819305111402171,0.00977416533772314,0.0204837798742469,0.0610981275464228,0.571274763135228,0.412485242030697,0
"401",0.0464442118049596,0.547518650165561,0.554675309086544,0.326923570150575,0.312137434678734,0.0717054263565891,0.182998819362456,1
"211",0.45248863632391,0.844047378702719,0,0.046843987657768,0.0260973819088549,0.507751937984496,0.464580873671783,0
"411",0.0992654946104468,0.525810630319812,0.345816828712039,0.424202035568226,0.082470974476054,0.0125968992248062,0.0824759655928487,1
"361",0.225930005767007,0.537306130190847,0.910815028207898,0.332485378398587,0.474650694106187,0,0.0991735537190083,1
"341",0.155075815119149,0.541976177013455,0.698768988650155,0.193337795246684,0.178408039518495,0.27906976744186,0.050767414403778,1
"231",0.157980263063069,0.589395113981474,0.698768988650155,0.262159772419307,0.309650593826866,0.143410852713178,0.0478158205430933,1
"210",0.401231987324618,0.726981878062922,0.0502940823430561,0.0537342018634322,0.0572576679109034,0.469961240310078,0.139905548996458,0
"81",0.692120675467002,0.786974018014885,0.020045612771576,0.0571505818586361,0.0610981275464228,0.487403100775194,0.3913813459268,0
"321",0.155075815119149,0.515033599190717,0.80158444364422,0.278510571196661,0.494641512288452,0.151485788113695,0.0824759655928487,1
"161",0.401231987324618,0.726981878062922,0.0502940823430561,0.0537342018634322,0.0572576679109034,0.469961240310078,0.139905548996458,0
"131",0.49559248214773,0.599094441997659,0.0636178129876365,0.182657909475516,0.0476712425063257,0.332364341085271,0.30047225501771,0
"271",0.166273194909802,0.535869192706968,0.698768988650155,0.229726772467854,0.205815497010831,0.249031007751938,0,1
"351",0.155075815119149,0.541976177013455,0.698768988650155,0.193337795246684,0.178408039518495,0.27906976744186,0.050767414403778,1
"181",0.749280818404473,0.756798330853419,0.00432120993878286,0.0410956265803814,0.165938011355567,0.598837209302326,0.176505312868949,0
"48",0.401231987324618,0.726981878062922,0.0502940823430561,0.0537342018634322,0.0572576679109034,0.469961240310078,0.139905548996458,0
"101",0.865075498985516,0.841685412713592,0.0235265874444845,0.0470296250850606,0.0116662736653371,0.468023255813953,0.207792207792208,0
"111",0.729678440329229,0.804217267821438,0.0443074060737006,0.138142918489356,0.0516207116122913,0.502180232558139,0.347950750548153,0
"251",0.166273194909802,0.535869192706968,0.698768988650155,0.229726772467854,0.205815497010831,0.249031007751938,0,1
"45",0.218476776829916,0.547518650165561,0.725603168887288,0.0774458021093185,0.239457526807774,0.35562015503876,0.0631641086186541,1
