"","Group","Exploration.Proportion","Time.Moved.Object","Time.Unmoved.Object","Cresyl.Violet","GFAP","Iba1","Caspase.3","ERA","ERB"
"1","Sh-Veh",0.760299035478318,24.886601718256,12.5670012936962,2191,0.00266695706935281,0.00461758674875573,475,821,1433
"2","Sh-Veh",0.764843255974212,8.88677007175259,1.73587962076287,2152,0.00445960940606049,0.00449955493009186,408,924,1367
"3","Sh-Veh",0.788089629720125,13.2475006456125,9.3752667398979,2784,0.00163242477247572,0.00312780212802622,389.428571428571,932,1526
"4","Sh-Veh",0.603429156394178,14.0146859852047,1.71945696884625,2354,0.00520309315728957,0.00542037974336619,389.428571428571,912,1727
"5","Sh-Veh",0.796269875802821,15.0134779400474,4.68536949983931,2107,0.00221550585528894,0.00727874678998983,344,936,1069
"6","Sh-Veh",0.91205142434695,7.53585218995464,1.73593738609111,2349.875,0.00157900726187349,0.00461758674875573,389.428571428571,907.555555555556,1468.75
"7","Sh-Veh",0.759897619227918,7.11073736978087,3.78311374271139,2349.875,0.00266695706935281,0.00461758674875573,389.428571428571,907.555555555556,1468.75
"8","Sh-Veh",0.923247450563899,32.1822384898722,8.98327492960039,2281,0.00163591886433753,0.00461758674875573,389.428571428571,907.555555555556,1468.75
"9","Sh-Veh",0.609498750984963,15.0867962669389,2.03177772643081,2349.875,0.0023771447102273,0.0037291597272831,308,842,1557
"10","Sh-Veh",0.750947175106495,12.1995291662394,1.60791860710802,2349.875,0.00258226167875861,0.00457523684766162,480,1065,1688
"11","Sh-Veh",0.834454891298311,16.4389957976496,3.89521369464571,2407,0.00201043228341059,0.00395116997067988,357,885,1383
"12","Sh-Veh",0.954047291743307,13.5585496392602,4.10422378844175,2523,0.00297417270380591,0.00435864385294712,354,851,1468.75
"13","Sh-TMX",0.849371034147578,10.3672784437094,5.31969865650821,2611,0.00401702191665901,0.00498328190468681,580,923,1590
"14","Sh-TMX",0.825856541975721,14.6707147702547,16.2711856657964,2340,0.00325710078477367,0.00505308128289334,649,710,1359.42857142857
"15","Sh-TMX",0.766584461839167,12.8069828705724,10.0230628845101,2525,0.00253156090923624,0.00437702066205556,670,908,1237
"16","Sh-TMX",0.749112575895804,6.05587297311657,3.37660244727293,2159,0.00622960725731571,0.00562548974361113,883,828,1320
"17","Sh-TMX",0.843475806568742,2.70376055375634,2.23188053018066,2339,0.00309374391860894,0.00306672757461971,678,836.25,1517
"18","Sh-TMX",0.779606414919698,7.71949063954559,0.535788555421967,2480,0.00351220516916551,0.00389724376821668,677.125,836.25,1359.42857142857
"19","Sh-TMX",0.685994131142119,11.8466923634854,2.92766051038604,2417,0.00360970267393799,0.00437702066205556,677.125,787,1048
"20","Sh-TMX",0.739486006204868,6.56778282460716,2.81603102152576,2343.3,0.00360970267393799,0.00437702066205556,677.125,836.25,1359.42857142857
"21","Sh-TMX",0.532619740603603,11.2238573276708,1.59946201018396,2179,0.00251932913620855,0.00471338826200857,599,970,1682
"22","Sh-TMX",0.783934112183467,9.38329828285611,1.0399346850214,2239,0.00494439030215243,0.00437702066205556,677.125,836.25,1359.42857142857
"23","Sh-TMX",0.869139392069848,4.53548212116758,0.751740991388943,2343.3,0.00238236467132183,0.00336285363066165,504,801,1122
"24","Sh-TMX",0.773833324519385,9.34379235866651,1.59162353316224,2144,0.00360970267393799,0.00431409912974657,854,763,1359.42857142857
